2017-09-19 16:29:37,622 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-60333-1505809777259-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-09-19 16:29:37,625 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-09-19 16:29:37,946 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2017-09-19 16:29:37,954 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2017-09-19 16:29:37,992 | INFO  | Using file upload directory: G:\app_server\apache-activemq-5.9.0\bin\..\data\tmp\uploads | io.hawt.web.UploadServlet | main
2017-09-19 16:29:38,003 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2017-09-19 16:29:38,208 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-09-19 16:29:38,320 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-09-28 10:25:53,464 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1e88b3c: startup date [Thu Sep 28 10:25:53 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-09-28 10:25:54,275 | INFO  | PListStore:[G:\app_server\apache-activemq-5.9.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-09-28 10:25:54,306 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[G:\app_server\apache-activemq-5.9.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-09-28 10:25:54,618 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-28 10:25:54,649 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-28 10:25:54,696 | INFO  | Recovery replayed 3164 operations from the journal in 0.078 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-28 10:25:54,868 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-52004-1506565554712-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-09-28 10:25:54,940 | INFO  | Listening for connections at: tcp://jameszhou-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-28 10:25:54,940 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-09-28 10:25:54,940 | INFO  | Listening for connections at: amqp://jameszhou-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-28 10:25:54,940 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
